compound,neutral_mass,mz,charge,rt,neg_12,neg_16,neg_20,neg_24,neg_28,neg_32,neg_36,neg_40,neg_44,neg_48,neg_13,neg_17,neg_21,neg_25,neg_29,neg_33,neg_37,neg_41,neg_45,neg_49,neg_14,neg_18,neg_22,neg_26,neg_30,neg_34,neg_38,neg_42,neg_46,neg_50,neg_15,neg_19,neg_23,neg_27,neg_31,neg_35,neg_39,neg_43,neg_47,neg_51
4.36_788.7609,NA,788.7609172,1,4.360683333,55.76722799,50.77785543,88.62272054,123.9726876,180.9060802,49.81200013,118.0582388,65.26123964,56.92106062,168.8392152,84.32434471,70.84647377,61.31359183,161.0171145,101.7704219,67.87587379,129.111402,69.01744698,57.36965593,136.8473376,69.89538421,65.04055527,61.56750782,138.983393,114.3686463,61.29817885,137.5162973,79.57077784,55.10732955,129.5213757,73.23471903,46.90410023,56.34211707,142.1682904,117.296456,61.34434899,146.8219113,73.20995097,54.30020958,128.1982823
4.36_745.7565,745.756476,726.7457436,1,4.360683333,338.6287318,336.0479883,448.7148892,546.7467542,581.771596,393.4151597,507.3118379,378.2320123,277.8826133,580.9613159,376.7458938,368.3480724,328.1756379,557.2613116,482.1655672,348.899607,484.2002017,299.202473,354.5129576,443.0523796,387.8276571,393.6016309,347.5502247,526.1258677,423.7828122,352.1118662,450.3076003,349.5901869,325.2447497,542.1522687,382.0289615,338.3422153,380.9289543,489.8032183,494.0494535,286.5660581,554.0714683,328.6727619,341.3507043,483.5226092
4.36_910.7183,NA,910.7183083,1,4.360683333,106.0944448,149.8591543,211.5120903,321.4122913,287.0613369,145.1223618,286.6825441,146.2568225,137.7661529,348.7053438,175.7238851,167.3963407,127.8925219,345.5716154,255.164889,165.6973239,284.5614531,102.0513693,179.1274564,234.9664444,200.6956757,166.8456397,164.9948839,332.2041643,212.3556026,138.8758237,243.7874618,156.4864115,177.8530878,329.938454,206.5071117,162.790391,163.1460961,299.2498012,298.7030847,148.7226977,322.6839114,162.3752115,161.6567144,292.0021614
4.38_606.7799,NA,606.7799333,1,4.379683333,217.623791,232.6949886,254.1518016,293.2046287,296.9443197,245.6752963,282.3869241,224.5205869,173.6980896,293.3432931,229.9209062,220.4679503,218.8123539,277.9965191,248.4504431,232.867445,254.6063572,202.9911397,222.9651246,276.7096155,237.6224978,215.7694065,201.2825868,261.7588642,257.4993904,212.917787,265.5744005,222.7909837,182.9212325,267.6962594,205.629281,219.6945832,226.2874326,257.794504,245.7449202,201.0079736,278.6484416,222.2781521,198.4045203,250.079348
4.34_627.8164,627.8163651,648.7846198,1,4.34185,278.6739513,363.0944711,430.1475319,568.0989049,637.1755249,368.7679885,492.7607049,375.422061,313.9281147,583.9073535,406.1490642,362.7659215,289.3737391,536.3296198,470.0461555,347.8236203,468.9189614,273.4970037,367.4178271,523.2003109,387.2503824,354.297186,328.5466445,563.2998601,516.9099548,349.6883225,504.7291074,368.6663362,370.4579997,530.2403933,364.1882385,362.7022583,367.5238917,549.7208184,533.8356158,348.2012854,589.5811193,353.4693684,317.2520603,534.0816492
4.38_869.7009,869.7008648,890.656936,1,4.379683333,90.08887689,96.19275985,115.8597979,157.4482228,159.8556927,80.60813248,154.5018979,104.652734,74.43073347,184.739122,98.39162727,121.9855968,86.71008948,161.0627383,124.4139147,98.88334112,144.5120446,91.95775645,108.430076,145.8208836,126.5856225,102.6045733,81.96189842,163.7382363,121.6803339,100.5796919,155.5311675,99.23354337,81.00878993,161.0644136,93.78361212,87.9283858,101.4022107,123.9311627,144.1827933,78.95383259,152.6112323,97.82012734,86.2367119,140.0675381
4.36_811.7420,811.7419939,810.7441483,1,4.360683333,361.4268154,354.2190347,387.7697129,571.4399138,558.333192,366.46761,504.7878192,363.8876207,287.4499887,609.2011677,371.0217474,373.4928855,333.2121816,549.6548194,411.0696631,328.4724417,482.2823002,308.9526042,354.8174294,452.3853396,377.5928485,338.2171154,295.1274677,542.8004174,421.0293749,373.1770848,491.1004546,326.5202408,310.8854117,524.6095575,358.7468796,337.7267811,340.3865791,500.5242632,451.495654,318.0072985,502.8737319,328.3656524,331.5119595,489.5686495
4.23_636.2660,636.2660128,617.2481716,1,4.231533333,376.4915322,647.5350918,337.411757,43.33653779,0,589.1934606,67.36635737,430.1090675,548.7304417,0,498.3466575,313.4244017,541.067865,0,2.491592728,464.1416663,29.87084586,445.8876963,558.9815854,0,604.359117,451.3193141,569.0761301,8.951476061,4.25355982,463.5094895,16.60388945,392.9129644,523.3310165,2.242082901,369.284816,473.3937206,489.1472427,0,0,523.7613888,0,398.3919425,496.16163770000003,0
7.16_474.1836,NA,474.1835719,1,7.1567,23.9493083,18.45127913,18.86194016,22.61164853,12.58696669,19.66420594,13.7987263,28.37218155,28.1138856,6.927401006,5.593485641,31.03389074,24.17106506,3.227056917,7.163933794,29.85198534,8.195849979,34.0983662,29.04944304,7.351062678,5.122552397,30.52930838,30.85332788,3.572227927,9.018067247,21.26172467,7.929707502,24.42965358,36.99620863,12.34017748,21.76180964,27.48707917,24.09457681,1.510358162,5.113182213,33.94425957,11.87439197,33.10857816,35.66669922,4.887255702
4.38_641.7868,641.786825,622.7689839,1,4.379683333,264.7497819,277.2047862,265.5740689,397.4895149,412.6608334,305.6390002,335.674364,263.5540273,209.914807,366.3926727,257.2670431,251.7171833,259.5010932,347.0117302,291.9936873,255.1769212,325.0348577,226.7568721,267.3330973,291.9568956,301.2709681,253.4036747,236.8167245,331.9629355,307.8333638,270.8236291,306.4962166,256.7627482,226.0469354,358.1184394,253.3979238,238.5429186,254.411183,363.3192676,309.5568983,223.8958155,341.4188548,253.9521573,256.3846024,315.3788862
4.38_808.6979,NA,808.6978518,1,4.379683333,66.89109813,51.26477218,62.19588098,84.56684602,81.756972,55.18816321,97.34053179,53.00342242,29.26405673,92.73227521,60.75177758,60.8355545,48.70612494,68.75189148,73.32829624,54.79229919,80.9997766,48.09579818,44.52347269,87.62167379,76.57272131,49.74695099,53.49093131,83.24608326,76.11139007,53.20230923,72.59792127,53.7726949,38.15825324,77.10514449,52.45632058,54.2461435,55.45637302,68.64457925,69.59626585,40.64050253,96.42818227,56.59498545,53.04338715,54.88024192
4.38_835.7281,835.7280665,816.7102254,1,4.379683333,205.045858,233.9854326,239.8072339,338.3505905,337.0399633,221.594905,307.9568388,218.5220141,170.3474209,358.9043164,233.8281132,242.3984475,205.4807755,351.8847352,256.3474922,198.4458736,279.4455128,206.6039027,209.3078694,263.6992529,242.5744412,220.9689744,201.3670412,325.0087806,265.0812612,231.9038454,288.3322813,228.8484946,168.7799143,327.5987303,224.1125636,198.8042591,206.8930373,308.7603362,264.4864875,164.7895061,321.432481,186.9805585,206.4237106,259.7282393
4.38_977.6690,977.6690039,958.6511628,1,4.379683333,56.22024182,75.18336062,83.97102792,89.93398483,109.2876231,61.8029034,112.0507652,55.14562777,50.87177534,115.4909446,69.03071291,69.97275012,52.35928713,115.7829734,78.30026152,56.41544435,93.92134436,51.77228241,54.37971438,88.96717327,89.24581394,35.14539276,57.59760804,122.9700175,92.21877921,71.86929358,105.2561466,64.21070959,45.25029186,114.2871888,53.55693218,51.65357634,49.05212953,94.62618267,101.9897429,61.08180689,95.9218713,62.9300882,58.16806218,90.82145337
