compound,neutral_mass,mz,charge,rt,pos_12,pos_16,pos_20,pos_24,pos_28,pos_32,pos_36,pos_40,pos_44,pos_48,pos_13,pos_17,pos_21,pos_25,pos_29,pos_33,pos_37,pos_41,pos_45,pos_49,pos_14,pos_18,pos_22,pos_26,pos_30,pos_34,pos_38,pos_42,pos_46,pos_50,pos_15,pos_19,pos_23,pos_27,pos_31,pos_35,pos_39,pos_43,pos_47,pos_51
24.23_857.5083,NA,857.5083261,1,24.23056667,0,0,0,0,0,0,0,0,0,0,832.4721241,1955.276423,1747.664717,1395.359425,668.4710243,1324.642302,2889.033371,1664.357537,1349.131201,2664.5531339999998,640.4538277,2254.818878,1462.146229,1088.061422,676.7169333,1285.751264,4305.703594,1220.157567,816.4672052,2262.027274,579.5676811,3050.539637,3660.294483,2910.813684,2079.859558,1080.587096,3405.352807,2175.56282,1243.938263,1738.313237
24.21_813.5447,NA,813.5447194,1,24.21206667,0,0,0,0,0,0,0,0,0,0,388.8086866,1359.203898,1334.914266,566.2466085,404.2429065,894.5243016,2610.287734,1151.62945,963.2201269,2237.570018,301.5775191,1532.388295,783.7872829,462.1134616,321.6641104,816.4194777,3802.386581,891.5291997,402.1541086,2065.253051,326.473264,1764.514887,3984.863938,2166.288565,1674.171463,511.7681964,2866.156787,1870.158567,576.3156148,1320.323912
25.10_823.5340,NA,823.5339989,1,25.09901667,0,0,0,0,0,0,0,0,0,0,891.7617189,703.0238377,618.5561629,836.8398352,644.2353955,635.6235921,510.312712,574.0054743,781.0698225,492.4507695,967.1771317,672.8908567,511.9641434,600.4815512,683.3337955,608.605954,629.7228181,722.9037255,887.1465827,501.001573,1976.17246,1223.104317,1673.017996,1053.854021,1070.082173,1281.700647,1129.545242,1327.976329,1764.225807,1110.348897
25.12_840.5378,NA,840.5378342,2,25.11768333,0,0,0,0,0,0,0,0,0,0,655.1054448,418.9201989,429.0210627,386.3799012,482.4040166,343.4990956,364.7616407,397.2562011,454.6233254,259.6922435,730.72148,389.8633346,340.6920221,353.3006815,480.2216325,481.8944622,332.6301368,477.4112169,567.2453481,317.1039473,2004.868531,1251.086698,1393.529119,1006.500287,1044.09096,1240.371954,974.9304999,1231.814155,1959.139381,965.8390373
24.23_830.5710,NA,830.5710491,1,24.23056667,0,0,0,0,0,0,0,0,0,0,309.6257307,1163.055092,763.2647609,645.2132036,175.9850982,586.8952775,1845.66245,705.6822939,765.2092413,1441.36818,228.8124916,1253.547091,637.6054775,416.620638,255.5459993,493.9136587,2603.469885,611.3673298,380.8764785,1566.723037,208.2186468,955.3524819,2822.151212,1653.398003,1052.59218,357.0069035,1674.816787,1277.559629,588.6758944,1041.500693
24.21_643.3834,NA,643.3833885,2,24.21206667,0,0,0,0,0,0,0,0,0,0,189.7529828,775.8206055,747.4181327,456.6515796,136.4826431,633.2743397,1585.204664,792.6257844,453.039136,1364.806207,231.1457621,953.2868734,523.7595525,313.6073608,180.5703449,465.5339066,2505.258068,417.361673,201.7553729,1166.787858,122.9156185,1288.215124,2374.288981,1297.271689,1034.642842,367.1342666,1859.434463,1076.633605,435.640129,758.318128
25.10_897.5379,NA,897.5378995,1,25.09901667,0,0,0,0,0,0,0,0,0,0,749.7329069,616.0897826,499.2338741,527.7338565,459.3912601,511.8441903,400.351407,419.8246848,512.1362613,280.9375874,690.3747444,950.356699,572.2022222,551.8944861,412.1248034,528.1220482,398.4311227,474.7922552,526.7449731,491.6554633,1176.275052,1102.616037,1183.947154,694.7562213,707.7577426,936.2159432,760.4562843,720.2234806,1453.529375,785.5079581
25.10_830.0517,NA,830.0517394,1,25.09901667,0,0,0,0,0,0,0,0,0,0,292.7374042,205.2447019,155.7731115,188.0349507,195.7561181,130.4830902,140.1803871,204.3722992,234.3267317,151.0195705,279.9212146,217.7537088,189.4580918,149.3316752,178.9698482,176.4457423,169.2217843,214.9649449,297.3261175,140.5016405,1132.371064,674.4476249,758.0026718,473.4110446,511.7263657,646.25134,498.3378618,732.6330634,1026.550596,535.006034
22.71_447.2691,NA,447.2690911,1,22.70681667,0,0,0,0,0,0,0,0,0,0,277.2046511,440.4689976,406.3229833,412.0929705,124.0094075,354.4446499,286.6202756,325.2046411,293.3962718,379.7331786,251.4702288,311.7342913,358.587081,336.2276626,107.3439381,417.0617299,304.2572059,261.0970541,314.2187847,391.0326493,351.5910709,758.9915667,688.6150666,848.6648909,219.9626485,589.3573109,464.3169814,475.7866446,562.5423423,737.7131967
24.23_851.4916,NA,851.4916457,1,24.23056667,0,0,0,0,0,0,0,0,0,0,186.9200958,377.4429166,360.8896625,313.5099878,124.7841583,287.1109686,676.0567874,457.128316,297.4271958,615.0591493,71.96997267,492.3672658,287.8745138,249.3335161,147.613481,310.7257376,1030.351379,328.7007072,198.1815244,528.5753738,99.34121486,672.0790196,899.7241317,632.5875032,527.540222,207.0667121,906.9919108,436.2754565,268.175068,436.4222692
25.12_852.0339,NA,852.0339212,1,25.11768333,0,0,0,0,0,0,0,0,0,0,91.81044409,79.38527882,48.44593887,41.59414656,56.6036464,87.53458085,30.26026005,91.41271141,87.35292966,39.32456191,111.4622975,53.7710502,45.16881535,62.61464351,70.63740123,27.92791456,44.91884491,53.64844396,106.1720833,28.31746481,348.8635645,217.17238270000001,240.2158819,190.929261,146.9494015,238.556263,183.0684696,193.244804,354.3700258,154.6621253
23.06_372.2724,NA,372.2724328,1,23.0633,0,0,0,0,0,0,0,0,0,0,110.5867142,115.9636124,186.3187721,134.9306773,54.05987405,107.7886808,114.5371933,101.3193621,51.34882283,84.30236153,126.4538177,130.6551734,268.856879,143.2563563,108.7065028,108.1079386,113.0173364,126.0548062,73.20385453,118.08845,234.1071175,229.3016439,264.2606791,265.5129947,192.7570165,232.6062986,217.6376825,236.7506654,170.9287515,202.16467
24.25_565.2328,NA,565.2328255,3,24.24906667,0,0,0,0,0,0,0,1.072559463,0,0,165.4533671,333.5575225,277.0852117,256.7566273,159.5203287,202.2446002,306.0318982,181.6210722,270.7357722,271.0580275,140.7508471,278.0871078,234.949822,289.0397634,134.7783205,249.1543037,313.5864381,202.2631691,177.0908908,301.0293699,152.37512,292.8400612,353.4991523,373.1079393,241.9906754,184.4078967,297.5567637,244.5661143,195.027774,195.3875501
24.23_451.2410,NA,451.2409704,1,24.23056667,390.934558,474.8687022,542.5238427,462.406405,338.7032396,421.59126,424.4228112,428.8999707,467.4770661,373.9770297,1479.79206,1785.281919,1852.965112,2284.690585,1286.312378,1423.748627,1915.816007,1533.932743,1667.464779,1794.067111,1244.269707,1675.343306,1695.348836,1833.885742,1142.951296,1489.476488,2062.929583,1442.966296,1342.821426,1644.788735,1348.301627,2256.094133,2055.767099,2442.974605,1681.889239,1537.980536,2092.691032,1576.395274,1582.354072,1454.327039
24.32_335.2184,NA,335.2184078,1,24.32306667,3007.013485,3336.235454,3423.206566,3931.275872,2876.387007,3538.877067,2871.097388,2893.469168,3295.536275,3256.951207,5825.565761,6612.544257,6928.918576,6616.379126,5784.862371,5191.197944,5856.67668,5973.45843,6908.205241,5749.890628,6553.660954,6577.157458,6442.911392,6193.173207,5154.202159,5772.863143,6258.396586,5784.841029,7421.016538,6600.726167,9627.02244,9597.129974,10760.1516,9626.159291,7501.286534,8779.611667,8068.212311,9661.882537,11040.79717,8437.141154
24.45_968.5108,968.5107892,969.5614234,1,24.45338333,0,0,0,0,0,0,0,0,6.158535628,0,88.42189762,145.7279431,58.94483494,166.8084029,104.8824377,155.6653712,75.60668179,32.59873936,137.6164629,41.78687832,126.8252477,213.4019984,102.6604801,66.14001622,125.3750529,96.1037235,82.05253776,73.71352638,187.7480704,55.82317648,239.7503437,128.7672144,150.0865087,169.5259201,106.7513456,256.5405095,166.1285498,215.9459725,181.6629569,150.8111629
22.40_351.2144,NA,351.2143783,1,22.40483333,263.6651338,307.3028716,345.9519971,431.1334001,247.5116596,318.4250003,325.0371212,234.9212951,251.2968004,284.267252,292.3887135,314.4962825,434.2274357,495.5786733,244.9572843,222.7131777,336.7220598,278.2829546,333.072535,320.1496293,711.9610053,670.5537527,959.5336647,911.0874317,524.2703431,740.1301017,739.584953,664.8129173,831.7536062,775.1763001,819.9315291,793.3577402,914.6543195,973.3009749,661.9730184,855.2172331,784.6281014,871.6297253,848.8504021,758.8175035
24.23_241.1265,NA,241.1264895,1,24.23056667,0,0,0,0,0,0,0,0,0,0,44.8254698,38.61017002,58.92636665,28.70687434,27.43956502,57.24608998,88.48501036,38.02930628,56.80194317,67.36305732,52.90829146,53.40929266,52.66802482,52.67454884,27.95766297,25.28088764,59.30788238,85.65606855,29.05125471,78.55599614,15.63497355,75.78094874,27.89856274,88.15025192,62.9306649,34.15146159,87.25921801,26.8099036,26.87046515,58.29731446
24.21_654.3740,NA,654.3739751,2,24.21206667,0,0,0,0,0,0,0,0,0,0,83.79671836,479.2031188,377.4321265,301.8981703,113.0732998,239.5096689,871.8907277,497.3975347,260.1918461,812.5496133,58.79841877,595.1438253,361.771067,170.0143355,60.1422818,248.3342382,1523.682964,233.4575073,143.7203391,727.2886776,34.71287145,848.2247746,1146.121659,853.027838,636.1223129,202.6186996,1060.808247,508.0237881,267.9892923,443.6389036
25.10_608.4160,NA,608.4160323,2,25.09901667,4.482321548,0,0,0,0,0,0,0,0,0,349.0844404,451.2154562,331.1974917,444.1617223,339.63535,238.6508707,228.5882927,335.7076092,390.1569163,179.0898285,497.0814482,285.630695,189.5791074,375.0504927,299.9527261,233.0157136,241.9081726,303.7359395,487.8590739,182.3087978,1319.383908,915.8296778,1183.439434,689.0643637,829.8484437,977.6534414,709.57234330000006,1000.900598,1449.77878,780.8243174
24.23_632.3919,NA,632.391924,2,24.23056667,0,0,0,0,0,0,0,0,0,0,120.1967632,854.5637139,891.8806243,97.59505667,162.3283674,533.8211373,1744.110323,905.1684921,329.8141359,1509.083486,78.9033516,965.6494549,546.2646547,207.3013215,131.877063,447.1168073,2549.372101,550.3047943,248.7504075,1388.131428,95.16968828,1112.84843,2521.697177,908.8139606,993.733025,348.5131268,1771.439343,1210.080846,372.9564914,783.3352729
22.29_314.2676,NA,314.2676458,1,22.294,1.925997641,0,0,0,0,0,0,0,0,0,224.7483297,245.3060479,240.2793359,276.0688034,196.7725178,157.3349599,236.1988317,109.7354933,125.0026595,224.0267297,248.0846745,226.1253822,262.9600489,343.6946509,191.9814181,161.3486953,219.0850838,102.6675694,154.3831548,224.8360387,502.417263,449.3310368,569.6261832,443.2920776,317.2773908,351.5547449,337.052459,306.4816271,364.0326438,411.1064594
23.51_423.2709,NA,423.2709024,1,23.51476667,8.09382424,21.7726471,9.622332115,46.41505763,7.582512593,15.47714622,10.44394542,8.0671939,7.278388045,12.00682127,89.37179973,137.294014,107.5290587,250.6667842,87.85202751,133.3196786,114.1611969,104.1130311,95.11591577,100.3368652,74.51781029,89.04344691,88.26990063,251.9095723,84.92075227,121.3554227,93.97790957,94.10846091,89.96189882,68.4084062,94.40584903,223.1819354,216.5469111,428.4296568,187.2964367,254.6650871,252.4107586,229.4306845,133.1219356,194.8986172
24.23_925.4950,NA,925.4950305,1,24.23056667,0,0,0,0,0,0,0,0,0,0,20.22217297,140.3845335,108.0433645,138.5813123,18.27476379,90.39286715,276.2355543,60.96370147,111.9518088,215.9300264,59.52710964,174.3879343,63.19990209,29.9904372,46.44654389,63.99730823,352.989795,81.96514731,103.4347771,261.1150642,34.48883129,198.7264555,436.1442607,236.7530538,206.6793175,18.65570532,291.5808427,150.4897399,57.78262194,142.6840049
24.23_370.2483,370.2482637,353.2449755,1,24.23056667,742.1516025,1210.066751,1277.690285,1115.555787,696.2663337,940.1898424,833.4958802,1129.467763,1501.446004,881.1774666,7933.669113,13910.88352,12177.62903,10704.88783,7066.16698,9753.850673,16392.96105,11129.99233,10774.40885,15501.44377,7556.114257,13726.56673,10196.32561,8964.302913,6739.555391,10605.49873,21198.92477,9675.290919,7934.197064,15158.13402,7462.603374,17481.96386,21883.17868,16636.04651,13167.77945,8940.156954,17659.02265,13419.20606,9615.6109,12506.86237
24.58_823.5637,NA,823.5636728,1,24.58138333,0,0,0,0,0,0,0,0,0,0,155.3277336,3715.004369,3781.261098,1478.432706,3729.429362,6282.97701,4613.083191,4840.212837,3864.764523,4153.65161,167.6753526,3986.767974,3506.117658,1437.306224,3122.563646,4911.967868,4131.089793,3471.023663,4010.418454,3128.649039,212.1237946,5548.235679,8440.527334,893.6518723,2873.544192,2675.462329,1404.330288,5196.108168,4621.454345,6354.865532
23.46_353.2285,NA,353.2285394,1,23.45776667,1816.297128,2326.725896,2226.245674,2884.304995,2144.789951,2616.094752,2133.673403,1819.663692,1834.616972,2179.678049,6412.203275,7177.759043,8227.70872,7678.399871,6301.391705,6822.464373,7508.13966,6783.518984,7146.50163,7474.245579,6602.250621,6987.389972,7799.608879,7732.732561,5663.460852,6357.690907,7328.737192,6266.354375,7697.101626,7332.743622,11677.60165,11702.99795,12763.60317,13085.08022,10009.96952,11149.69356,10650.05471,11470.56971,11776.00387,11249.85101
24.40_405.0926,NA,405.0926332,1,24.39721667,323.0460732,395.8865284,393.4950769,474.2228409,263.2345997,409.6147223,299.9470689,238.0365379,326.8362746,350.0727154,143.4784538,177.2489833,195.265847,155.4533847,136.5856874,128.7231032,105.4151315,106.1715725,108.5591061,110.7233661,130.57232,133.092372,178.8326002,144.8062273,145.359398,112.2897743,100.9544802,115.8506982,135.485613,159.8176301,102.9445419,90.34643128,110.9768309,143.7089327,74.73299528,94.43743418,80.49597002,87.10714178,126.9845062,92.00025215
23.31_383.2025,NA,383.2024994,1,23.31261667,196.3085588,238.4139707,187.8055114,258.3299319,185.1240716,235.1880949,205.7201241,209.3528079,140.2960828,288.8687776,1337.112953,1364.794383,1549.625125,1351.19218,1211.257262,1191.014857,1375.5451,1401.160263,1272.743513,1339.49886,1307.563264,1411.732682,1375.308493,1300.258546,1018.555624,1170.635837,1180.951395,1242.176934,1301.172087,1176.805029,2329.758623,2349.620721,2234.327778,2537.206166,2053.967103,2296.487863,2199.108263,2646.672569,2334.766429,2239.360121
24.38_265.2126,NA,265.2125807,1,24.37873333,264.7302581,358.1967844,358.6431587,419.8575661,285.2950076,351.0874673,309.7302586,250.9121385,269.2813315,331.7232616,130.5875697,141.4388262,174.1801523,192.5502799,112.0167965,118.0365257,97.84956714,112.3198781,115.3608112,125.6543415,140.8731636,160.4985948,196.5300303,172.1186285,148.5114439,150.6256459,119.7124393,128.5859486,164.712374,130.1527062,110.7845063,118.1925965,97.11519595,135.5376996,104.489973,117.48148,96.73142708,96.07944541,143.7689372,101.2524669
24.21_629.3841,NA,629.3840854,2,24.21206667,0,0,0,0,0.063017713,0,0,0,0,0,37.05269873,340.6085438,198.05660459999999,300.7477619,13.7688156,147.8406483,656.2051505,242.1943748,119.9135965,581.6708314,32.4431223,312.9225101,122.4507206,95.4915508,38.65022657,141.8624735,1251.558422,154.5067361,82.84702533,505.2519545,45.38070413,657.6225854,973.5386369,750.4369553,453.2631276,95.92709744,895.1938352,407.5030579,94.75109472,314.5886946
25.10_309.2026,NA,309.2026379,1,25.09901667,5626.497542,7225.485628,7148.063879,8107.982253,5965.555265,6549.835313,5569.114535,6234.641692,6488.891976,7472.004475,3866.469663,3923.946153,5146.150434,4753.140472,4217.871062,4267.083573,4761.371914,4299.788931,4404.853376,5006.767378,3630.11516,4463.866759,4621.91957,4926.432613,3978.433772,3693.899025,4205.006762,3792.703256,4377.735862,4144.825814,3176.189645,3717.221905,4094.676209,4422.525559,3461.79489,4010.838333,3825.625113,3840.95637,3648.548059,3824.874217
9.10_365.0858,NA,365.0857902,1,9.1016,0,1.017785177,0,0,0,1.807409796,5.43223e-4,0.775785096,0.008252618,0,9.187140126,21.47467621,8.148972303,15.01838647,4.878812966,17.77614226,8.368742058,13.92519796,19.88371107,3.413110082,0,0,0,0.727560656,0,0.003660707,1.573575517,0.683796694,0,0,10.63840996,17.77104235,18.91870089,19.16505441,9.004545208,17.65929783,12.19042405,25.89191002,15.52587901,11.52981586
23.44_330.2398,330.2398162,331.2463697,1,23.4391,80.02201154,60.32210582,73.84819303,61.60270845,52.26479425,70.92980831,74.435232009999993,37.28019919,44.52670902,64.38399745,557.9784615,557.0869896,511.0800552,687.2835653,424.395909,442.2098357,504.3559745,447.8682239,572.2520466,483.8921602,594.4946846,504.9467047,567.1306612,620.5041225,484.1353313,519.1799388,541.4318037,503.6359279,499.3303747,547.6616983,976.8954046,945.2830843,1012.223959,1246.027674,894.4444075,962.7975339,889.0143656,883.696882,934.4606936,864.076871
20.34_211.0934,NA,211.0933749,1,20.33643333,164.9251801,228.397277,262.2490563,360.4321572,210.9665771,230.9912386,203.4914414,169.11533120000001,174.571202,228.3465571,489.6038729,538.2428169,685.1895033,570.0659361,502.7008182,553.9868874,595.9158883,530.7881579,574.7742579,672.5224457,526.5506531,561.2606959,755.161488,604.1269389,434.3480471,512.2020224,503.0897399,472.6230969,700.4559374,550.4462117,1056.666359,1041.036505,1136.050531,1167.614164,970.9560609,957.851725,913.7003846,1084.996025,1134.422228,1027.673739
24.21_835.5265,NA,835.5265361,1,24.21206667,0,0,0,0,0,0,0,0,9.58377629,0,4650.630086,14896.56616,15225.31373,9520.1392,4450.368361,10110.58488,29546.73394,14321.91632,11206.12325,26521.24171,4129.638446,15828.44737,10567.30765,7237.071388,4034.81971,8573.230601,48169.42513,9242.336857,6199.423359,21652.82913,4525.833998,22115.40707,43939.38743,27898.3637,17987.01507,7491.58543,34753.40828,20748.13318,8827.310742,16689.54133
25.10_644.3970,NA,644.3970067,2,25.09901667,0.057599389,0,0.334652154,0.060599224,3.651192528,0,0,0,0,0,249.1363911,240.7675901,262.84029,147.8220993,136.6825009,186.548686,149.1736547,237.5838246,191.4817884,186.7504941,329.1317339,199.6941967,159.8755212,190.3308517,232.8556526,138.3636975,139.0662648,234.1007766,218.0345709,157.9238194,621.3236049,391.4576844,466.7293283,285.6397465,467.9443073,394.0345443,347.2718584,345.4048071,469.3349025,248.6659752
23.10_353.2292,NA,353.229243,1,23.10146667,682.5480154,728.7512886,874.1803551,986.8391513,672.7468746,845.1557345,802.0542491,695.9530481,601.5564306,841.8145408,1355.380157,1439.840803,1652.536278,1655.930365,1089.533765,1314.212521,1290.830398,1271.953192,1240.239671,1251.484221,1508.35803,1353.50429,1746.648734,1439.986172,961.6126922,1452.516076,1162.773642,1168.395219,1474.239595,1606.733365,1959.089857,1922.938799,2361.260228,2394.351287,1677.108895,1959.175508,1750.978497,2066.875886,2099.748424,1852.334596
